pr2,pr3,State,FIPSCode,population
0.9252940416181983,0,PA,42077,262636
0.8914188131492814,0.0038314176245210726,PA,42079,247479
0.9259757738896366,0.010174418604651164,PA,42081,91639
0.9254901960784314,0.01977401129943503,PA,42083,33722
0.9243000345661943,0.013089005235602094,PA,42085,90691
0.9373493975903614,0.014138817480719794,PA,42087,35859
0.9109843788742872,0.011976047904191617,PA,42089,126259
0.8543277933190719,0.02696585929599846,PA,42091,603170
0.939622641509434,0.002008032128514056,PA,42093,14331
0.920332936979786,0.011627906976744186,PA,42095,230618
0.8879568603954464,6.747638326585695e-4,PA,42097,74685
0.8916256157635468,0,PA,42099,35270
0.7800445538750147,0.03464602434991733,PA,42101,1120332
0.9347079037800687,0.007352941176470588,PA,42103,43452
0.8954635108481263,0,PA,42105,13497
0.9390669628689305,0.013180128421764109,PA,42107,115571
0.9222222222222223,0.0034423407917383822,PA,42109,31224
0.9499241274658573,0.009584664536741214,PA,42111,61842
0.9262295081967213,0,PA,42113,5447
0.935862691960253,0.0019305019305019305,PA,42115,33334
0.9508357915437562,0,PA,42117,33392
0.9518413597733711,0.002976190476190476,PA,42119,36097
0.9364303178484108,0.006092254134029591,PA,42121,42437
0.9456617002629273,0.0018535681186283596,PA,42123,32417
0.8783277870216306,4.735969689793985e-4,PA,42125,165073
0.9480925578486554,0.001978891820580475,PA,42127,41832
0.9365380325674771,0.010956293914493272,PA,42129,289881
0.9468085106382979,0.004213483146067416,PA,42131,22163
0.9124985493791342,0.012717792191275595,PA,42133,334780
0.9450056116722784,0.014251781472684086,RI,44001,38260
0.8773388773388774,0.08293838862559241,RI,44001,38260
0.9340949033391915,0.01317027281279398,RI,44001,38260
0.9224683544303798,0.025728987993138937,RI,44003,130163
0.9439853076216712,0.04085603112840467,RI,44003,130163
0.9421984630805212,0.020921985815602836,RI,44003,130163
0.9523809523809523,0.03461538461538462,RI,44003,130163
0.9286486486486486,0.02211874272409779,RI,44003,130163
0.9522569444444444,0.020966271649954422,RI,44005,64980
0.8730587440918298,0.02320185614849188,RI,44005,64980
0.8871989860583016,0.02857142857142857,RI,44005,64980
